Business_Name,Public Zip,votes_dem,votes_rep,pct_dem_lead,PopInsured,TotalPop,Life Exp,Median_Income_Dollars,Mean_Income_Dollars,Public Address Street,Public Address City,Full Address,Geo,ZCTA5,Places_ID,GEOID
Walmart Pharmacy,44281,427,534,-11,"32,080","33,809",80.9,"$88,128.00 ","$111,974.00 ",222 E Smokerise Dr,Wadsworth,"222 E Smokerise Dr, Wadsworth, OH 44281, USA","41.052606,-81.7249683",44281,ChIJM2v5uM_NMIgRp8-abLYKtc4,39103-WADSWORTH CITY 1-C
CVS Pharmacy,44281,392,512,-13.1,"32,080","33,809",80.9,"$88,128.00 ","$111,974.00 ",1183 Williams Reserve Blvd,Wadsworth,"1183 Williams Reserve Blvd, Wadsworth, OH 44281, USA","41.039966299999996,-81.6903005",44281,ChIJGafGRHXSMIgRUiIwusLJFiE,39103-WADSWORTH CITY 2-D
CVS Pharmacy,44256,506,615,-9.6,"61,708","63,948",75.9,"$100,345.00 ","$129,031.00 ",401 S Elmwood Ave,Medina,"401 S Elmwood Ave, Medina, OH 44256, USA","41.135209499999995,-81.8664002",44256,ChIJZfclH-C3MIgRiL-AfVBw2eo,39103-MEDINA CITY 2-A
The Medicine Shoppe Pharmacy,44203,286,447,-21.7,"36,456","38,431",76,"$59,124.00 ","$80,431.00 ",3300 Greenwich Rd UNIT 14,Norton,"3300 Greenwich Rd UNIT 14, Norton, OH 44203, USA","41.0251573,-81.6445233",44203,ChIJq-KKVqzTMIgRtKlzjeCROyE,39153-NORTON 4-B
Acme Pharmacy,44319,273,395,-18.2,"20,173","21,211",78.8,"$74,781.00 ","$91,261.00 ",3235 Manchester Rd,Akron,"3235 Manchester Rd, Akron, OH 44319, USA","41.0126843,-81.5521818",44319,ChIJPeS146nVMIgR-8kV8v8KbpI,39153-COVENTRY B
Walgreens Pharmacy,44212,501,695,-15.9,"43,962","45,569",79.4,"$87,776.00 ","$100,778.00 ",1337 Pearl Rd,Brunswick,"1337 Pearl Rd, Brunswick, OH 44212, USA","41.2389497,-81.84069869999999",44212,ChIJDwinee_BMIgRzXYWHNnrTLo,39103-BRUNSWICK CITY 4-C
Discount Drug Mart Pharmacy Brunswick Hills #85,44212,444,767,-26.4,"43,962","45,569",77.2,"$87,776.00 ","$100,778.00 ",5270 Center Rd,Brunswick Hills Township,"5270 Center Rd, Brunswick Hills Township, OH 44212, USA","41.2365697,-81.87576",44212,ChIJn-n5LDO_MIgRjKROxlGHfCs,39103-BRUNSWICK HILLS TWP B
CVS Pharmacy,44304,159,71,37.6,"3,077","3,386",,"$35,946.00 ","$45,509.00 ",590 E Market St,Akron,"590 E Market St, Akron, OH 44304, USA","41.077387,-81.4986749",44304,ChIJBXAGA8YpMYgRLLEc2TG5WLI,39153-AKRON 05-N
Giant Eagle Pharmacy,44685,409,502,-10.1,"27,642","28,570",,"$100,094.00 ","$123,091.00 ",1700 Corporate Woods Pkwy,Uniontown,"1700 Corporate Woods Pkwy, Uniontown, OH 44685, USA","40.9615527,-81.4690588",44685,ChIJ36zJU9TUNogR1kfJpw2HY1Y,39153-GREEN 1-A
Market District Pharmacy,44685,409,502,-10.1,"27,642","28,570",,"$100,094.00 ","$123,091.00 ",1700 Corporate Woods Pkwy,Uniontown,"1700 Corporate Woods Pkwy, Uniontown, OH 44685, USA","40.9620859,-81.4691406",44685,ChIJiWvDrNXUNogRnh9pJi7-DOw,39153-GREEN 1-A
Acme Pharmacy,44685,383,493,-12.3,"27,642","28,570",,"$100,094.00 ","$123,091.00 ",3875 Massillon Rd # 110 Room 6,Uniontown,"3875 Massillon Rd # 110 Room 6, Uniontown, OH 44685, USA","40.9566764,-81.4641484",44685,ChIJz4P3-NDUNogRwyMweMjR7IQ,39153-GREEN 2-D
CVS Pharmacy,44685,325,445,-15.4,"27,642","28,570",,"$100,094.00 ","$123,091.00 ",3761 Massillon Rd,Uniontown,"3761 Massillon Rd, Uniontown, OH 44685, USA","40.9594974,-81.4644997",44685,ChIJfeSsY9HUNogRfEZndema9Yk,39153-GREEN 2-B
Uniontown Pharmacy,44685,409,502,-10.1,"27,642","28,570",,"$100,094.00 ","$123,091.00 ",1549 Boettler Rd # B,Uniontown,"1549 Boettler Rd # B, Uniontown, OH 44685, USA","40.9599907,-81.4720418",44685,ChIJq6qa_inVNogRNGNQDaIAgQ8,39153-GREEN 1-A
Walmart Pharmacy,44312,305,492,-23.1,"29,155","30,739",75.3,"$64,542.00 ","$78,074.00 ",2887 S Arlington Rd,Akron,"2887 S Arlington Rd, Akron, OH 44312, USA","40.9930332,-81.48903399999999",44312,ChIJ759OlOwqMYgRsPsW3QrQnu4,39153-SPRINGFIELD H
Walgreens Pharmacy,44319,457,418,4.4,"20,173","21,211",79.3,"$74,781.00 ","$91,261.00 ",361 E Waterloo Rd,Akron,"361 E Waterloo Rd, Akron, OH 44319, USA","41.0291638,-81.51372669999999",44319,ChIJdQWz2goqMYgRG-_NIliDI_Q,39153-AKRON 07-H
CVS Pharmacy,44312,340,411,-9.3,"20,173","21,211",,"$74,781.00 ","$91,261.00 ",762 Arlington Ridge,Akron,"762 Arlington Ridge, Akron, OH 44312, USA","40.9841133,-81.49602929999999",44319,ChIJs7bpDL8qMYgRs-V36gDI_pY,39153-GREEN 4-A
Walgreens Pharmacy,44305,439,206,35.6,"18,844","20,552",73.6,"$55,909.00 ","$59,212.00 ",840 Brittain Rd,Akron,"840 Brittain Rd, Akron, OH 44305, USA","41.0851985,-81.4675738",44305,ChIJUc-uH_4oMYgRW7lZzTne8SQ,39153-AKRON 10-B
Meijer Pharmacy,44240,527,504,2.2,"35,645","37,686",,"$57,415.00 ","$78,082.00 ",219 Tallmadge Rd,Kent,"219 Tallmadge Rd, Kent, OH 44240, USA","41.102511899999996,-81.38544600000002",44240,ChIJZdRobOsvMYgRJqc9OEpSkIM,39133-BRIMFIELD A
Walmart Pharmacy,44720,216,314,-18.3,"37,939","39,290",80.5,"$81,045.00 ","$109,914.00 ",4572 Mega St NW,North Canton,"4572 Mega St NW, North Canton, OH 44720, USA","40.8708173,-81.433301",44720,ChIJC0AVG7LWNogRfHUYBrJzXgI,39151-JACKSON 13
Marc's Pharmacy,44720,328,294,5.4,"37,939","39,290",,"$81,045.00 ","$109,914.00 ",1664 N Main St,North Canton,"1664 N Main St, North Canton, OH 44720, USA","40.897179,-81.40433399999999",44720,ChIJz4-TzsHTNogRooZBMEgQxeY,39151-NORTH CANTON 2-D
Walgreens Pharmacy,44223,401,352,6.4,"17,478","18,139",76.9,"$89,046.00 ","$117,747.00 ",2645 State Rd,Cuyahoga Falls,"2645 State Rd, Cuyahoga Falls, OH 44223, USA","41.1455773,-81.507903",44223,ChIJ6fkYqvMnMYgR3HcMY3OetGc,39153-CUYAHOGA FALLS 3-C
Giant Eagle Pharmacy,44319,457,418,4.4,"20,173","21,211",79.2,"$74,781.00 ","$91,261.00 ",484 E Waterloo Rd,Akron,"484 E Waterloo Rd, Akron, OH 44319, USA","41.027547999999996,-81.5094081",44319,ChIJDQwLUXMqMYgRWbhrFiR9nmU,39153-AKRON 07-H
Walgreens Pharmacy,44266,188,172,4.3,"29,947","31,937",74,"$61,211.00 ","$78,762.00 ",144 E Main St,Ravenna,"144 E Main St, Ravenna, OH 44266, USA","41.1574325,-81.2409495",44266,ChIJP1w_pno5MYgRQbN1RLVKu9I,39133-RAVENNA 4-A
Giant Eagle Pharmacy,44312,215,400,-29.6,"29,155","30,739",73.5,"$64,542.00 ","$78,074.00 ",2801 E Waterloo Rd,Akron,"2801 E Waterloo Rd, Akron, OH 44312, USA","41.032144699999996,-81.4263531",44312,ChIJoZ3d4QcsMYgRdDCfSpe-l6A,39153-SPRINGFIELD J
Giant Eagle Pharmacy,44632,268,583,-36.6,"10,295","10,563",,"$88,448.00 ","$105,853.00 ",907 W Maple St,Hartville,"907 W Maple St, Hartville, OH 44632, USA","40.970386,-81.3469575",44632,ChIJx-L6UVotMYgR78pu68B5FY8,39151-LAKE B
Market District Pharmacy,44223,401,352,6.4,"17,478","18,139",76.9,"$89,046.00 ","$117,747.00 ",2687 State Rd,Cuyahoga Falls,"2687 State Rd, Cuyahoga Falls, OH 44223, USA","41.1466005,-81.50684199999999",44223,ChIJ42_iAo4nMYgR_e_BvIi07no,39153-CUYAHOGA FALLS 3-C
CVS Pharmacy,44240,328,90,56.4,"35,645","37,686",80.2,"$57,415.00 ","$78,082.00 ",500 S Water St,Kent,"500 S Water St, Kent, OH 44240, USA","41.149692099999996,-81.3588757",44240,ChIJqUyQqyMlMYgRTILLOy0pWMw,39133-KENT 5-B
CVS Pharmacy,44632,268,583,-36.6,"10,295","10,563",,"$88,448.00 ","$105,853.00 ",600 W Maple St,Hartville,"600 W Maple St, Hartville, OH 44632, USA","40.9661751,-81.34035039999999",44632,ChIJK6gjD1gtMYgRgCewS3R9pXY,39151-LAKE B
Walgreens Pharmacy,44240,250,45,67.9,"35,645","37,686",80.2,"$57,415.00 ","$78,082.00 ",320 S Water St,Kent,"320 S Water St, Kent, OH 44240, USA","41.1504963,-81.3590873",44240,ChIJ_ZTmtCMlMYgRwe3YqDA7gqw,39133-KENT 5-A
Acme Fresh Market Pharmacy,44312,371,285,12.9,"29,155","30,739",73.2,"$64,542.00 ","$78,074.00 ",2420 Wedgewood Dr,Akron,"2420 Wedgewood Dr, Akron, OH 44312, USA","41.0478561,-81.4419758",44312,ChIJAQAAfFkpMYgRTVdvSImiUwo,39153-AKRON 06-J
PharmaCare Compounding Pharmacy,44278,254,215,8.2,"17,803","18,352",79.1,"$91,670.00 ","$102,161.00 ",232 West Ave,Tallmadge,"232 West Ave, Tallmadge, OH 44278, USA","41.1019927,-81.4507943",44278,ChIJK0qYi-ooMYgRdYiR1ThZYDg,39153-TALLMADGE 1-C
Sam's Club Pharmacy,44720,198,276,-16.3,"37,939","39,290",80.5,"$81,045.00 ","$109,914.00 ",4790 Portage St NW,Canton,"4790 Portage St NW, Canton, OH 44720, USA","40.8783397,-81.4371163",44720,ChIJ2Yr2wKjWNogR6DFOMXBxvwc,39151-JACKSON 08
CVS Pharmacy,44305,379,265,17.3,"18,844","20,552",78,"$55,909.00 ","$59,212.00 ",2091 Eastwood Ave,Akron,"2091 Eastwood Ave, Akron, OH 44305, USA","41.0846806,-81.442044",44305,ChIJK0La89goMYgRjD8nS8az_5s,39153-AKRON 10-F
Walgreens Pharmacy,44512,270,238,6.2,"31,189","32,517",75.6,"$62,311.00 ","$79,107.00 ",7295 Market St,Boardman,"7295 Market St, Boardman, OH 44512, USA","41.0248741,-80.6620623",44512,ChIJnWsDUfb6M4gRlHSf2ui18V0,39099-BOARDMAN 09
Meijer Pharmacy,44512,366,474,-12.8,"31,189","32,517",80.3,"$62,311.00 ","$79,107.00 ",1400 Boardman-Canfield Rd,Boardman,"1400 Boardman-Canfield Rd, Boardman, OH 44512, USA","41.0262132,-80.7081209",44512,ChIJxUIs_cPxM4gRhaNKSE46Icc,39099-BOARDMAN 08
Meijer Pharmacy,44484,385,450,-7.6,"20,283","21,439",76.7,"$65,435.00 ","$85,820.00 ",2100 Niles Cortland Rd SE,Warren,"2100 Niles Cortland Rd SE, Warren, OH 44484, USA","41.2150543,-80.7442784",44484,ChIJYSfpXNXfM4gRXGz2J3divBw,39155-HOWLAND TWP V
Walgreens Pharmacy,44515,321,377,-7.9,"26,111","27,237",,"$52,831.00 ","$71,422.00 ",5501 Mahoning Ave,Austintown,"5501 Mahoning Ave, Austintown, OH 44515, USA","41.099036999999996,-80.7642216",44515,ChIJD6zObB3jM4gRtN12mB0CBuU,39099-AUSTINTOWN TWP 15
CVS Pharmacy,44224,410,317,12.6,"36,565","37,998",89.2,"$91,096.00 ","$114,029.00 ",3352 Kent Rd,Stow,"3352 Kent Rd, Stow, OH 44224, USA","41.1588868,-81.4408923",44224,ChIJXzs0bmMmMYgRu2LN_oaDwpg,39153-STOW 1-A
NEOvations Pharmacy Services,44272,250,288,-7,"5,899","6,064",77.3,"$81,468.00 ","$99,260.00 ",4211 OH-44 Suite 207-208,Rootstown,"4211 OH-44 Suite 207-208, Rootstown, OH 44272, USA","41.1041458,-81.2440543",44272,ChIJ-___T1E3MYgR9zZtrN2DJpA,39133-ROOTSTOWN D
Walgreens Pharmacy,44505,533,81,73,"13,766","14,917",72,"$36,480.00 ","$54,661.00 ",2654 McCartney Rd,Youngstown,"2654 McCartney Rd, Youngstown, OH 44505, USA","41.090753299999996,-80.5932021",44505,ChIJMwx4n2bvM4gRt4C3nCu3-lk,39099-YOUNGSTOWN CITY 2 D
Walgreens Pharmacy,44425,193,292,-20.2,"12,936","13,315",82.3,"$62,287.00 ","$84,058.00 ",15 S Main St,Hubbard,"15 S Main St, Hubbard, OH 44425, USA","41.1561222,-80.56833350000001",44425,ChIJMcekDRXpM4gR0nAQ_oDPL4c,39155-HUBBARD CITY 1A
Accudose Pharmacy,44512,390,417,-3.3,"31,189","32,517",81.2,"$62,311.00 ","$79,107.00 ",685 Boardman-Canfield Rd #3,Boardman,"685 Boardman-Canfield Rd #3, Boardman, OH 44512, USA","41.023773999999996,-80.680966",44512,ChIJ4XDJdar7M4gRfDB7KKyyEOU,39099-BOARDMAN 24
Walgreens Pharmacy,44481,227,192,8.3,"14,194","15,175",68.6,"$33,720.00 ","$52,846.00 ",804 W Market St,Warren,"804 W Market St, Warren, OH 44481, USA","41.2343106,-80.82999679999999",44485,ChIJJ18qSOBfMYgRHLxK0Osagqo,39155-WARREN CITY 1B
Walgreens Pharmacy,44446,314,355,-6.1,"18,815","19,723",73.9,"$49,779.00 ","$64,140.00 ",5027 Youngstown Warren Rd,Niles,"5027 Youngstown Warren Rd, Niles, OH 44446, USA","41.2135117,-80.76240020000002",44446,ChIJodKfuovgM4gR0T5NwTmobhQ,39155-NILES CITY 1D
Meijer Pharmacy,44515,305,337,-4.9,"26,111","27,237",77.7,"$52,831.00 ","$71,422.00 ",5800 Mahoning Ave,Austintown,"5800 Mahoning Ave, Austintown, OH 44515, USA","41.100950999999995,-80.769773",44515,ChIJX_cxUG7jM4gRNeLAklmtdtI,39099-AUSTINTOWN TWP 03
Newton Falls Pharmacy,44444,245,317,-12.7,"8,645","9,234",76.6,"$61,580.00 ","$75,040.00 ",37 Ridge Rd,Newton Falls,"37 Ridge Rd, Newton Falls, OH 44444, USA","41.190148699999995,-80.97893239999999",44444,ChIJLXJxqslcMYgR0LAOgJJaKzE,39155-NEWTON FALLS VLG 1A
Walgreens Pharmacy,44505,302,58,67.2,"1,994","2,091",71.3,"$20,706.00 ","$28,982.00 ",2560 Belmont Ave,Youngstown,"2560 Belmont Ave, Youngstown, OH 44505, USA","41.133138599999995,-80.6661956",44510,ChIJG1tCBtDlM4gRuBDFxmFaFA0,39099-YOUNGSTOWN CITY 3 E
Walmart Pharmacy,44460,127,492,-58,"22,852","24,853",80.1,"$59,882.00 ","$75,691.00 ",2875 E State St,Salem,"2875 E State St, Salem, OH 44460, USA","40.8994858,-80.81805489999999",44460,ChIJv3qjRbuqNogR3buQwfzZN8g,39029-SALEM TWP FRANKLIN SQ
Franklin Pharmacy Inc.,44484,247,66,57.3,"20,283","21,439",70.4,"$65,435.00 ","$85,820.00 ",1732 Youngstown Rd SE,Warren,"1732 Youngstown Rd SE, Warren, OH 44484, USA","41.2273955,-80.7964642",44484,ChIJLVpOKg_gM4gREKvoddqZnQw,39155-WARREN CITY 4F
Walgreens Pharmacy,44446,244,327,-14.4,"18,815","19,723",79.7,"$49,779.00 ","$64,140.00 ",2249 Youngstown Warren Rd,Niles,"2249 Youngstown Warren Rd, Niles, OH 44446, USA","41.18297,-80.71775699999999",44446,ChIJL0dwQtTmM4gRo3HXILMo8TM,39155-WEATHERSFIELD TWP E
CVS Pharmacy,44266,188,172,4.3,"29,947","31,937",74,"$61,211.00 ","$78,762.00 ",318 E Main St,Ravenna,"318 E Main St, Ravenna, OH 44266, USA","41.1571,-81.23871749999999",44266,ChIJZcpBMHA5MYgRA7sRJI-s1FM,39133-RAVENNA 4-A
CVS Pharmacy,44512,398,449,-6,"31,189","32,517",80.2,"$62,311.00 ","$79,107.00 ",417 Boardman Poland Rd,Boardman,"417 Boardman Poland Rd, Boardman, OH 44512, USA","41.0206241,-80.64639179999999",44512,ChIJp3zvgWL6M4gRR8EfCO7OK2o,39099-BOARDMAN 01
Elite Pharmacy,44406,230,313,-15.2,"21,785","22,282",82.9,"$99,542.00 ","$130,123.00 ",11 E Main St,Canfield,"11 E Main St, Canfield, OH 44406, USA","41.024349699999995,-80.75990670000002",44406,ChIJLyBRWVH8M4gRt-dYVHDdCdM,39099-CANFIELD CITY 01
Giant Eagle Pharmacy,44406,274,396,-17.9,"21,785","22,282",82.9,"$99,542.00 ","$130,123.00 ",525 E Main St,Canfield,"525 E Main St, Canfield, OH 44406, USA","41.023474,-80.7469167",44406,ChIJ615iO1z8M4gRP2Bw6aDhxYM,39099-CANFIELD CITY 02
CVS Pharmacy,44425,305,387,-11.7,"12,936","13,315",82.3,"$62,287.00 ","$84,058.00 ",134 Youngstown Hubbard Rd,Hubbard,"134 Youngstown Hubbard Rd, Hubbard, OH 44425, USA","41.1559868,-80.5857207",44425,ChIJA-30gB_pM4gROSOlt459r0U,39155-HUBBARD CITY 2C
Walgreens Pharmacy,44514,338,459,-14.9,"22,832","23,425",78.7,"$80,000.00 ","$104,597.00 ",30 W McKinley Way,Poland,"30 W McKinley Way, Poland, OH 44514, USA","41.0245645,-80.6160477",44514,ChIJTSikoGbwM4gR00XEhCI9bJ0,39099-POLAND VLG 1
The Hometown Pharmacy,44511,470,304,21.2,"17,784","18,823",69.8,"$55,055.00 ","$66,379.00 ",3623 S Meridian Rd,Youngstown,"3623 S Meridian Rd, Youngstown, OH 44511, USA","41.064163,-80.710126",44511,ChIJHWb5f037M4gReWS9JPOQnY4,39099-YOUNGSTOWN CITY 5 A
CVS Pharmacy,44406,274,396,-17.9,"21,785","22,282",,"$99,542.00 ","$130,123.00 ",601 E Main St,Canfield,"601 E Main St, Canfield, OH 44406, USA","41.0241897,-80.74129479999999",44406,ChIJp5dr0WD8M4gRmy6sOVPIkbg,39099-CANFIELD CITY 02
CVS Pharmacy,44241,313,416,-14,"17,298","18,248",78.9,"$81,392.00 ","$96,588.00 ",1144 OH-303,Streetsboro,"1144 OH-303, Streetsboro, OH 44241, USA","41.237324,-81.35296389999999",44241,ChIJhYh5sNkiMYgRoemW0hWoOgQ,39133-STREETSBORO 4-B
Gromoll Drug Store,44672,211,405,-31,"4,299","4,584",75.5,"$49,835.00 ","$65,066.00 ",227 N 15th St,Sebring,"227 N 15th St, Sebring, OH 44672, USA","40.9225262,-81.0192337",44672,ChIJtz7dSs6yNogR3B2lQyNkbP0,39099-SBC 1
CVS Pharmacy,44509,416,183,38.1,"9,650","10,643",74.6,"$36,472.00 ","$51,483.00 ",2846 Mahoning Ave,Youngstown,"2846 Mahoning Ave, Youngstown, OH 44509, USA","41.1034333,-80.701776",44509,ChIJ_bjT_orkM4gRtO9QDpiF7xU,39099-YOUNGSTOWN CITY 4 D
Meijer Pharmacy,44601,295,454,-21,"29,828","32,367",77.6,"$61,887.00 ","$76,879.00 ",2500 W State St,Alliance,"2500 W State St, Alliance, OH 44601, USA","40.8993961,-81.1538873",44601,ChIJR5gFlnS1NogRG1zo65Z5yks,39151-ALLIANCE 4-C
Walmart Pharmacy,44241,298,285,2.2,"17,298","18,248",77.6,"$81,392.00 ","$96,588.00 ",905 Singletary Dr,Streetsboro,"905 Singletary Dr, Streetsboro, OH 44241, USA","41.2520927,-81.3623178",44241,ChIJY_C9duoiMYgRldOA9IQTuzE,39133-STREETSBORO 1-C
Walgreens Pharmacy,43506,265,496,-29.5,"13,745","14,550",74.2,"$60,705.00 ","$81,985.00 ",403 S Main St,Bryan,"403 S Main St, Bryan, OH 43506, USA","41.4704571,-84.55025599999999",43506,ChIJeeV2sJ3APYgRp_4s1ZtJwkY,39171-BRYAN B - WD2
Walgreens Pharmacy,43512,268,575,-35.7,"26,073","27,624",77.1,"$72,082.00 ","$87,069.00 ",1829 N Clinton St,Defiance,"1829 N Clinton St, Defiance, OH 43512, USA","41.3059018,-84.3596283",43512,ChIJC87n1APOPYgRDnqcJfFAUfU,39039-DEFIANCE CITY 3-D
Meijer Pharmacy,43512,208,336,-23.1,"26,073","27,624",79.6,"$72,082.00 ","$87,069.00 ",137 Elliott Rd,Defiance,"137 Elliott Rd, Defiance, OH 43512, USA","41.3105869,-84.3578896",43512,ChIJJb0h7gbOPYgRWxV4T0ajAHs,39039-NOBLE TWP A
Walmart Pharmacy,43506,168,264,-21.5,"13,745","14,550",74.2,"$60,705.00 ","$81,985.00 ",1215 S Main St,Bryan,"1215 S Main St, Bryan, OH 43506, USA","41.4596075,-84.5476331",43506,ChIJBe6R_pbAPYgRHDT4S6a0z3Q,39171-BRYAN E - WD4
Walmart Pharmacy,43512,208,259,-10.8,"26,073","27,624",77.1,"$72,082.00 ","$87,069.00 ",1804 N Clinton St,Defiance,"1804 N Clinton St, Defiance, OH 43512, USA","41.3051221,-84.3643913",43512,ChIJVeV-nQTOPYgRJ2H1rwY9cEY,39039-DEFIANCE CITY 3-C
Walmart Pharmacy,43545,305,563,-29.3,"13,482","14,145",81.2,"$78,165.00 ","$99,790.00 ",1815 Scott St,Napoleon,"1815 Scott St, Napoleon, OH 43545, USA","41.4041414,-84.1337679",43545,ChIJO43xkA83PIgRK-N-xIxFKYs,39069-NAPOLEON CITY 4
Rings Pharmacy,43543,178,550,-50.1,"7,029","7,420",76.7,"$60,685.00 ","$70,853.00 ",221 W Main St,Montpelier,"221 W Main St, Montpelier, OH 43543, USA","41.5867566,-84.6097185",43543,ChIJyRLv6CiWPYgRCitKyMcRn2A,39171-MONTPELIER A
CVS Pharmacy,43506,265,496,-29.5,"13,745","14,550",77.7,"$60,705.00 ","$81,985.00 ",341 W High St,Bryan,"341 W High St, Bryan, OH 43506, USA","41.474207299999996,-84.5550597",43506,ChIJEQJcFn2_PYgRizGCWiSjhwU,39171-BRYAN B - WD2
FCHC Outpatient Pharmacy,43567,209,494,-39.6,"12,151","12,774",,"$74,404.00 ","$93,812.00 ",South Medical Office Building,Wauseon,"South Medical Office Building, 725 S Shoop Ave, Wauseon, OH 43567, USA","41.539409400000004,-84.1326639",43567,ChIJq6qqOjBPPIgR-F03RT2vsR0,39051-WAUSEON 1
"Roger T. Latta, R",43545,305,563,-29.3,"13,482","14,145",77.3,"$78,165.00 ","$99,790.00 ",1412 Scott St,Napoleon,"1412 Scott St, Napoleon, OH 43545, USA","41.4003772,-84.13155019999999",43545,ChIJcTlwQhA3PIgR0isWjKPS_vc,39069-NAPOLEON CITY 4
CareRX Pharmacy,43558,138,224,-23.6,"12,011","12,787",78.5,"$74,612.00 ","$95,301.00 ",14241 Airport Hwy,Swanton,"14241 Airport Hwy, Swanton, OH 43558, USA","41.5804207,-83.8817157",43558,ChIJZWD9BgBpPIgR_7RCLE5VNrU,39095-SWANTON 3
COVID-19 Drive-Thru Testing at Walgreens,43512,268,575,-35.7,"26,073","27,624",77.1,"$72,082.00 ","$87,069.00 ",1829 N Clinton St,Defiance,"1829 N Clinton St, Defiance, OH 43512, USA","41.3059089,-84.35970909999999",43512,ChIJQ6ByRdvPPYgRCEhnNDqBpOE,39039-DEFIANCE CITY 3-D
Walmart Pharmacy,43567,149,523,-54.6,"12,151","12,774",79.4,"$74,404.00 ","$93,812.00 ",485 Airport Hwy,Wauseon,"485 Airport Hwy, Wauseon, OH 43567, USA","41.5756246,-84.13658769999999",43567,ChIJZYW6F6lPPIgR-83vBXtybPU,39051-CLINTON EAST
Klinger Pharmacy,43570,187,549,-48.3,"2,670","2,745",80.5,"$61,424.00 ","$66,375.00 ",102 W Jackson St,West Unity,"102 W Jackson St, West Unity, OH 43570, USA","41.5865826,-84.43411379999999",43570,ChIJ9f2zp4CwPYgRTdTLu1u1XGs,39171-WEST UNITY
Community Markets Delta Pharmacy,43515,225,462,-33.6,"7,468","8,139",78.1,"$77,654.00 ","$101,042.00 ",702 E Main St,Delta,"702 E Main St, Delta, OH 43515, USA","41.573744,-83.9991417",43515,ChIJD5TCzQNDPIgR5JsBrTF4YRo,39051-DELTA 3
ProMedica Specialty Pharmacy,43606,548,202,45.4,"23,249","24,312",78.3,"$60,308.00 ","$88,150.00 ",3142 Central Ave,Toledo,"3142 Central Ave, Toledo, OH 43606, USA","41.678461,-83.62044329999999",43606,ChIJfc9LEgB_PIgROkxnozPFhNc,39095-TOLEDO 12G
Holland Discount Pharmacy,43528,499,414,9.1,"15,183","16,434",,"$92,188.00 ","$124,103.00 ",909 S McCord Rd #1,Holland,"909 S McCord Rd #1, Holland, OH 43528, USA","41.6242725,-83.7026015",43528,ChIJ3bytk0t6PIgRmIAj88HPCMk,39095-SPRINGFIELD 01
Sylvania Family Pharmacy,43615,320,197,23.5,"38,475","40,653",,"$58,466.00 ","$79,926.00 ",2114 N Holland Sylvania Rd,Toledo,"2114 N Holland Sylvania Rd, Toledo, OH 43615, USA","41.6605713,-83.68221310000001",43615,ChIJjfg3Hxp7PIgRxGUrLONIDxI,39095-TOLEDO 05F
Sam's Club Pharmacy,43528,443,413,3.4,"15,183","16,434",,"$92,188.00 ","$124,103.00 ",1300 E Mall Dr,Holland,"1300 E Mall Dr, Holland, OH 43528, USA","41.6172992,-83.6960624",43528,ChIJpxpF7zl6PIgR9bD6nSMvH8I,39095-SPRINGFIELD 06
Walgreens Pharmacy,43615,479,190,42.6,"38,475","40,653",,"$58,466.00 ","$79,926.00 ",1330 N Reynolds Rd,Toledo,"1330 N Reynolds Rd, Toledo, OH 43615, USA","41.6528117,-83.6639276",43615,ChIJ13V5V0R5PIgRIFFVCEtClls,39095-TOLEDO 06E
health mart,43528,499,414,9.1,"15,183","16,434",,"$92,188.00 ","$124,103.00 ",909 S McCord Rd,Holland,"909 S McCord Rd, Holland, OH 43528, USA","41.624584299999995,-83.7025548",43528,ChIJsxCEkkt6PIgR2gBm7fLD_SY,39095-SPRINGFIELD 01
Kosaraju Padma M,43605,209,124,25.2,"21,639","24,345",70.9,"$36,389.00 ","$45,857.00 ",210 Main St,Toledo,"210 Main St, Toledo, OH 43605, USA","41.6467308,-83.522279",43605,ChIJ73yHE7qGO4gR-ERjXPcn7Xk,39095-TOLEDO 19C
Community Markets,43515,225,462,-33.6,"7,468","8,139",78.1,"$77,654.00 ","$101,042.00 ",702 E Main St,Delta,"702 E Main St, Delta, OH 43515, USA","41.573744,-83.9991417",43515,ChIJ2W3ob3JDPIgR3O7ukWpu4ms,39051-DELTA 3
COVID-19 Drive-Thru Testing at Walgreens,43506,265,496,-29.5,"13,745","14,550",74.2,"$60,705.00 ","$81,985.00 ",403 S Main St,Bryan,"403 S Main St, Bryan, OH 43506, USA","41.4703976,-84.55031079999999",43506,ChIJVVUVsJ3APYgR3V4GSbDJ1tk,39171-BRYAN B - WD2
Omnicare Inc,43551,259,279,-3.7,"42,242","43,057",,"$91,460.00 ","$132,574.00 ",7643 Ponderosa Rd,Perrysburg,"7643 Ponderosa Rd, Perrysburg, OH 43551, USA","41.561438900000006,-83.54042489999999",43551,ChIJ4XiCDo2IO4gRnfma_L3Pej8,39173-PERRYSBURG TWP FALLEN TIMBERS
BioScrip Infusion Services,43560,508,632,-10.7,"31,335","32,386",,"$104,865.00 ","$153,061.00 ",3315 Centennial Rd Aa,Sylvania,"3315 Centennial Rd Aa, Sylvania, OH 43560, USA","41.676735699999995,-83.74307189999999",43560,ChIJXxjWJIB9PIgRUooSTq9wLGI,39095-SYLVANIA TWP P
